parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
193,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
#ERROR!
#ERROR!
197,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
198,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
#ERROR!
201,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
203,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
204,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
206,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
207,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
209,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
212,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
213,3,6,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
214,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
215,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
216,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
217,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
218,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
221,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
222,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
223,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
224,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
225,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
#ERROR!
228,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
229,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
230,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
#ERROR!
235,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
236,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
237,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
238,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
239,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
240,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
242,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
243,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
245,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
247,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
#ERROR!
